id,title,authors,venue,year,group_id,original_id
14,DyDa: data warehouse maintenance in fully concurrent environments,"Jun Chen, Xin Zhang, Songting Chen, Andreas Koeller, Elke A. Rundensteiner",International Conference on Management of Data,2001,7.0,375789
15,Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,"Florian Krebs, Christian Böhm, Bernhard Braunmüller, Hans-Peter Kriegel",SIGMOD Conference,2001,8.0,conf/sigmod/BohmBKK01
16,Epsilon grid order: an algorithm for the similarity join on massive high-dimensional data,"Christian B&#246;hm, Bernhard Braunm&#252;ller, Florian Krebs, Hans-Peter Kriegel",International Conference on Management of Data,2001,8.0,375714
17,Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation,"Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer",International Conference on Management of Data,2001,9.0,375780
18,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",SIGMOD Conference,2001,9.0,conf/sigmod/DattaDRTV01
19,Clio: a semi-automatic tool for schema mapping,"Mauricio A. Hern&#225;ndez, Ren&#233;e J. Miller, Laura M. Haas",International Conference on Management of Data,2001,10.0,375767
20,Clio: A Semi-Automatic Tool For Schema Mapping,"Laura M. Haas, Renée J. Miller, Mauricio A. Hernández",SIGMOD Conference,2001,10.0,conf/sigmod/HernandezMHYHT01
21,Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001,11.0,conf/sigmod/LeeWMS01
22,Dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",International Conference on Management of Data,2001,11.0,375709
23,DNA-miner: a system prototype for mining DNA sequences,"Jiawei Han, Hasan Jamil, Ying Lu, Liangyou Chen, Yaqin Liao, Jian Pei",International Conference on Management of Data,2001,12.0,375786
24,DNA-Miner: A System Prototype for Mining DNA Sequences,"Jiawei Han, Liangyou Chen, Jian Pei, Ying Lu, Yaqin Liao, Hasan M. Jamil",SIGMOD Conference,2001,12.0,conf/sigmod/HanPLJ01
25,"COSIMA - Your Smart, Speaking E-Salesperson","Werner Kießling, Thorsten Ehm, Stefan Holland, Stefan Fischer 0003",SIGMOD Conference,2001,13.0,conf/sigmod/KiesslingHFE01
26,"COSIMA- your smart, speaking E-salesperson","Werner Kie&#946;ling, Stefan Holland, Stefan Fischer, Thorsten Ehm",International Conference on Management of Data,2001,13.0,375754
27,Data-driven understanding and refinement of schema mappings,"Ling Ling Yan, Ren&#233;e J. Miller, Laura M. Haas, Ronald Fagin",International Conference on Management of Data,2001,14.0,375729
28,Data-Driven Understanding and Refinement of Schema Mappings,"Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Renée J. Miller",SIGMOD Conference,2001,14.0,conf/sigmod/YanMHF01
29,Efficient evaluation of XML middle-ware queries,"Mary Fernandez, Atsuyuki Morishima, Dan Suciu",International Conference on Management of Data,2001,15.0,375674
30,Efficient Evaluation of XML Middle-ware Queries,"Mary F. Fernandez, Dan Suciu, Atsuyuki Morishima",SIGMOD Conference,2001,15.0,conf/sigmod/FernandezMS01
31,Enabling dynamic content caching for database-driven web sites,"K. Sel&#231;uk Candan, Wen-Syan Li, Qiong Luo, Wang-Pin Hsiung, Divyakant Agrawal",International Conference on Management of Data,2001,16.0,375736
32,Enabling Dynamic Content Caching for Database-Driven Web Sites,"Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K. Selçuk Candan",SIGMOD Conference,2001,16.0,conf/sigmod/CandanLLHA01
33,Automatic Segmentation of Text into Structured Records,"Vinayak R. Borkar, Sunita Sarawagi, Kaustubh Deshmukh",SIGMOD Conference,2001,17.0,conf/sigmod/BorkarDS01
34,Automatic segmentation of text into structured records,"Vinayak Borkar, Kaustubh Deshmukh, Sunita Sarawagi",International Conference on Management of Data,2001,17.0,375682
35,Communication-efficient distributed mining of association rules,"Assaf Schuster, Ran Wolff",International Conference on Management of Data,2001,18.0,375728
36,Communication Efficient Distributed Mining of Association Rules,"Ran Wolff, Assaf Schuster",SIGMOD Conference,2001,18.0,conf/sigmod/SchusterW01
37,Efficient Computation of Iceberg Cubes with Complex Measures,"Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang",SIGMOD Conference,2001,19.0,conf/sigmod/HanPDW01
38,Efficient computation of Iceberg cubes with complex measures,"Jiawei Han, Jian Pei, Guozhu Dong, Ke Wang",International Conference on Management of Data,2001,19.0,375664
39,Catalog Management in Websphere Commerce Suite,Thomas Maguire,SIGMOD Conference,2001,20.0,conf/sigmod/Maguire01
40,Catalog management in websphere commerce suite,Thomas Maguire,International Conference on Management of Data,2001,20.0,375742
41,Exploiting Constraint-Like Data Characterizations in Query Optimization,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",SIGMOD Conference,2001,21.0,conf/sigmod/GodfreyGXZ01
42,Exploiting constraint-like data characterizations in query optimization,"Parke Godfrey, Jarek Gryz, Calisto Zuzarte",International Conference on Management of Data,2001,21.0,375749
43,Filtering algorithms and implementation for very fast publish/subscribe systems,"Fran&#231;oise Fabret, H. Arno Jacobsen, Fran&#231;ois Llirbat, Jo&#259;o Pereira, Kenneth A. Ross, Dennis Shasha",International Conference on Management of Data,2001,22.0,375677
44,Filtering Algorithms and Implementation for Very Fast Publish/Subscribe,"Kenneth A. Ross, Françoise Fabret, François Llirbat, João Pereira, Hans-Arno Jacobsen, Dennis Shasha",SIGMOD Conference,2001,22.0,conf/sigmod/FabretJLPRS01
45,Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,2001,23.0,conf/sigmod/OlstonWL01
46,Adaptive precision setting for cached approximate values,"Chris Olston, Boon Thau Loo, Jennifer Widom",International Conference on Management of Data,2001,23.0,375710
47,Fast-Start: quick fault recovery in oracle,"Tirthankar Lahiri, Amit Ganesh, Ron Weiss, Ashok Joshi",International Conference on Management of Data,2001,24.0,375751
48,Fast-Start: Quick Fault Recovery in Oracle,"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",SIGMOD Conference,2001,24.0,conf/sigmod/LahiriG01
49,Dissemination of Dynamic Data,"Pavan Deolasee, Amol Katkar, Krithi Ramamritham, Ankur Panchbudhe, Prashant J. Shenoy",SIGMOD Conference,2001,25.0,conf/sigmod/DeolaseeKPRS01
50,Dissemination of dynamic data,"Pavan Deolasee, Amol Katkar, Ankur Panchbudhe, Krithi Ramamritham, Prashant Shenoy",International Conference on Management of Data,2001,25.0,375752
51,"Data Management: Lasting Impact of the Wild Wild, Wild, Web",Reed M. Meseck,SIGMOD Conference,2001,26.0,conf/sigmod/Meseck01
52,"Data management: lasting impact on wild, wild, web",Reed M. Meseck,International Conference on Management of Data,2001,26.0,375745
53,"Fault-tolerant, Load-balancing Queries in Telegraph","Mehul A. Shah, Sirish Chandrasekaran",SIGMOD Conference,2001,27.0,conf/sigmod/ShahC01
54,"Fault-tolerant, load-balancing queries in telegraph","Mehul A. Shah, Sirish Chandrasekaran",International Conference on Management of Data,2001,27.0,375773
55,Content Integration for E-Business,"Joseph M. Hellerstein, Michael Stonebraker",SIGMOD Conference,2001,28.0,conf/sigmod/StonebrakerH01
56,Content integration for e-business,"Michael Stonebraker, Joseph M. Hellerstein",International Conference on Management of Data,2001,28.0,375739
57,Generating Efficient Plans for Queries Using Views,"Chen Li, Jeffrey D. Ullman, Foto N. Afrati",SIGMOD Conference,2001,29.0,conf/sigmod/AfratiLU01
58,Generating efficient plans for queries using views,"Foto N. Afrati, Chen Li, Jeffrey D. Ullman",International Conference on Management of Data,2001,29.0,375705
59,OminiSearch: A Method for Searching Dynamic Content on the Web,"Henrique Paques, Ling Liu, David Buttler, Calton Pu",SIGMOD Conference,2001,30.0,conf/sigmod/ButtlerLPP01
60,OminiSearch: a method for searching dynamic content on the Web,"David Buttler, Ling Liu, Calton Pu, Henrique Paques, Wei Han, Wei Tang",International Conference on Management of Data,2001,30.0,375762
61,Modeling High-Dimensional Index Structures using Sampling,"Christian A. Lang, Ambuj K. Singh",SIGMOD Conference,2001,31.0,conf/sigmod/LangS01
62,Modeling high-dimensional index structures using sampling,"Christian A. Lang, Ambuj K. Singh",International Conference on Management of Data,2001,31.0,375716
63,MPEG-7 Standard for Multimedia Databases,John R. Smith,SIGMOD Conference,2001,32.0,conf/sigmod/Smith01
64,Standard for multimedia databases,John R. Smith,International Conference on Management of Data,2001,32.0,375814
65,Updating XML,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,33.0,conf/sigmod/TatarinovIHW01
66,Updating XML,"Igor Tatarinov, Zachary G. Ives, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001,33.0,375720
67,REVIEW: a real-time virtual walkthrough system,"L. Shou, C. H. Chionh, Z. Huang, Y. Ruan, Kian-Lee Tan",International Conference on Management of Data,2001,34.0,375755
68,REVIEW: A Real Time Virtual Walkthrough System,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",SIGMOD Conference,2001,34.0,conf/sigmod/ShouCTRH01
69,Efficient and Tunable Similar Set Retrieval,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",SIGMOD Conference,2001,35.0,conf/sigmod/GionisGK01
70,Efficient and tumble similar set retrieval,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",International Conference on Management of Data,2001,35.0,375689
71,Materialized view selection and maintenance using multi-query optimization,"Hoshi Mistry, Prasan Roy, S. Sudarshan, Krithi Ramamritham",International Conference on Management of Data,2001,36.0,375703
72,Materialized View Selection and Maintenance Using Multi-Query Optimization,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",SIGMOD Conference,2001,36.0,conf/sigmod/MistryRSR01
73,XML data management (panel session): go native or spruce up relational systems?,"Per-&#197;ke Larson, Dana Florescu, Goetz Graefe, Guido Moerkotte, Hamid Pirahesh, Harald Sch&#246;ning",International Conference on Management of Data,2001,37.0,375792
74,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),Per-Åke Larson,SIGMOD Conference,2001,37.0,conf/sigmod/Larson01
75,"Optimizing queries using materialized views: a practical, scalable solution","Jonathan Goldstein, Per-&#197;ke Larson",International Conference on Management of Data,2001,38.0,375706
76,"Optimizing Queries Using Materialized Views: A practical, scalable solution","Per-Åke Larson, Jonathan Goldstein",SIGMOD Conference,2001,38.0,conf/sigmod/GoldsteinL01
77,Semantic B2B Integration,Christoph Bussler,SIGMOD Conference,2001,39.0,conf/sigmod/Bussler01
78,Semantic B2B integration,Christoph Bussler,International Conference on Management of Data,2001,39.0,375810
79,SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,"Shivnath Babu, Rajeev Rastogi, Minos N. Garofalakis",SIGMOD Conference,2001,40.0,conf/sigmod/BabuGR01
80,SPARTAN: a model-based semantic compression system for massive data tables,"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001,40.0,375693
81,RETINA: A REal-time TraffIc NAvigation System,"Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung, Kam-yiu Lam",SIGMOD Conference,2001,41.0,conf/sigmod/LamCKNH01
82,RETINA: a real-time traffic navigation system,"Kam-Yiu Lam, Edward Chan, Tei-Wei Kuo, S. W. Ng, Dick Hung",International Conference on Management of Data,2001,41.0,375779
83,Space-efficient online computation of quantile summaries,"Michael Greenwald, Sanjeev Khanna",International Conference on Management of Data,2001,42.0,375670
84,Space-Efficient Online Computation of Quantile Summaries,"Sanjeev Khanna, Michael Greenwald",SIGMOD Conference,2001,42.0,conf/sigmod/GreenwaldK01
85,The nimble integration engine,"Denise Draper, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001,43.0,375744
86,The Nimble Integration Engine,"Daniel S. Weld, Alon Y. Halevy, Denise Draper",SIGMOD Conference,2001,43.0,conf/sigmod/DraperHW01
87,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data,2001,44.0,375774
88,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,2001,44.0,conf/sigmod/AgichteinGV01
89,Optimizing multidimensional index trees for main memory access,"Kihong Kim, Sang K. Cha, Keunjoo Kwon",International Conference on Management of Data,2001,45.0,375679
90,Optimizing Multidimensional Index Trees for Main Memory Access,"Sang Kyun Cha, Keunjoo Kwon, Kihong Kim",SIGMOD Conference,2001,45.0,conf/sigmod/KimCK01
91,"Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool",SIGMOD Conference,2001,46.0,conf/sigmod/ClaypoolRZSK01
92,"Sangam - a solution to support multiple data models, their mappings and maintenance","Kajal T. Claypool, Elke A. Rundensteiner, Xin Zhang, Su Hong, Harumi Kuno, Wang-chien Lee, Gail Mitchell",International Conference on Management of Data,2001,46.0,375765
93,Securing XML documents: the author-X project demonstration,"Elisa Bertino, Silvana Castano, Elena Ferrari",International Conference on Management of Data,2001,47.0,375764
94,Securing XML Documents: the Author-X Project Demonstration,"Elisa Bertino, Elena Ferrari, Silvana Castano",SIGMOD Conference,2001,47.0,conf/sigmod/BertinoCF01
95,Application servers (panel session): born-again TP monitors for the Web,"C. Mohan, Larry Cable, Matthieu Devin, Scott Dietzen, Pat Helland, Dan Wolfson",International Conference on Management of Data,2001,48.0,375798
96,Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),C. Mohan,SIGMOD Conference,2001,48.0,conf/sigmod/Mohan01
97,Proxy-server architectures for OLAP,"Panos Kalnis, Dimitris Papadias",International Conference on Management of Data,2001,49.0,375712
98,Proxy-Server Architectures for OLAP,"Panos Kalnis, Dimitris Papadias",SIGMOD Conference,2001,49.0,conf/sigmod/KalnisP01
99,Efficient and Effective Metasearch for Text Databases Incorporating Linkages among Documents,"Weiyi Meng, Clement T. Yu, King-Lup Liu, Wensheng Wu",SIGMOD Conference,2001,50.0,conf/sigmod/YuMWL01
100,Efficient and effective metasearch for text databases incorporating linkages among documents,"Clement Yu, Weiyi Meng, Wensheng Wu, King-Lup Liu",International Conference on Management of Data,2001,50.0,375684
101,Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001,51.0,375692
102,Query Optimization In Compressed Database Systems,"Zhiyuan Chen, Flip Korn, Johannes Gehrke",SIGMOD Conference,2001,51.0,conf/sigmod/ChenGK01
103,Orthogonal optimization of subqueries and aggregation,"C&#233;sar Galindo-Legaria, Milind Joshi",International Conference on Management of Data,2001,52.0,375748
104,Orthogonal Optimization of Subqueries and Aggregation,"Milind Joshi, César A. Galindo-Legaria",SIGMOD Conference,2001,52.0,conf/sigmod/Galindo-LegariaJ01
105,Independence is Good: Dependency-Based Histogram Synopses for High-Dimensional Data,"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis",SIGMOD Conference,2001,53.0,conf/sigmod/DeshpandeGR01
106,Independence is good: dependency-based histogram synopses for high-dimensional data,"Amol Deshpande, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001,53.0,375685
107,Progressive Approximate Aggregate Queries with a Multi-Resolution Tree Structure,"Iosif Lazaridis, Sharad Mehrotra",SIGMOD Conference,2001,54.0,conf/sigmod/LazaridisM01
108,Progressive approximate aggregate queries with a multi-resolution tree structure,"Iosif Lazaridis, Sharad Mehrotra",International Conference on Management of Data,2001,54.0,375718
109,STHoles: a multidimensional workload-aware histogram,"Nicolas Bruno, Surajit Chaudhuri, Luis Gravano",International Conference on Management of Data,2001,55.0,375686
110,STHoles: A Multidimensional Workload-Aware Histogram,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2001,55.0,conf/sigmod/BrunoCG01
111,Kweelt: more than just yet another framework to query XML!,Arnaud Sahuguet,International Conference on Management of Data,2001,56.0,375757
112,Kweelt: More than just yet another framework to query XML!,Arnaud Sahuguet,SIGMOD Conference,2001,56.0,conf/sigmod/Sahuguet01
113,Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"Vivek R. Narasayya, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2001,57.0,conf/sigmod/AgrawalCN01
114,Materialized view and index selection tool for Microsoft SQL server 2000,"Sanjay Agrawal, Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,2001,57.0,375769
115,Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,2001,58.0,conf/sigmod/ChenGM01
116,Improving index performance through prefetching,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry",International Conference on Management of Data,2001,58.0,375688
117,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001,59.0,conf/sigmod/ZhangNDLL01
118,On supporting containment queries in relational database management systems,"Chun Zhang, Jeffrey Naughton, David DeWitt, Qiong Luo, Guy Lohman",International Conference on Management of Data,2001,59.0,375722
119,"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","Felipe Cariño, Pekka Kostamaa, Art Kaufmann, John Burgess",SIGMOD Conference,2001,60.0,conf/sigmod/CarinoKKB01
120,"StorHouse metanoia - new applications for database, storage &; data warehousing","Felipe Cari&#241;o, Jr., Pekka Kostamaa, Art Kaufmann, John Burgess",International Conference on Management of Data,2001,60.0,375733
121,Outlier Detection for High Dimensional Data,"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,2001,61.0,conf/sigmod/AggarwalY01
122,Outlier detection for high dimensional data,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2001,61.0,375668
123,The network is the database: data management for highly distributed systems,"Julio C. Navas, Michael Wynblatt",International Conference on Management of Data,2001,62.0,375737
124,The Network is the Database: Data Management for Highly Distributed Systems,"Michael J. Wynblatt, Julio C. Navas",SIGMOD Conference,2001,62.0,conf/sigmod/WynblattN01
125,Main-memory index structures with fixed-size partial keys,"Philip Bohannon, Peter Mcllroy, Rajeev Rastogi",International Conference on Management of Data,2001,63.0,375681
126,Main-Memory Index Structures with Fixed-Size Partial Keys,"Philip Bohannon, Rajeev Rastogi, Peter McIlroy",SIGMOD Conference,2001,63.0,conf/sigmod/BohannonMR01
127,Time series similarity measures and time series indexing (abstract only),"Dimitrios Gunopulos, Gautam Das",International Conference on Management of Data,2001,64.0,375808
128,Time Series Similarity Measures and Time Series Indexing,"Gautam Das, Dimitrios Gunopulos",SIGMOD Conference,2001,64.0,conf/sigmod/GunopulosD01
129,Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,"Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani",SIGMOD Conference,2001,65.0,conf/sigmod/KeoghCMP01
130,Locally adaptive dimensionality reduction for indexing large time series databases,"Eamonn Keogh, Kaushik Chakrabarti, Michael Pazzani, Sharad Mehrotra",International Conference on Management of Data,2001,65.0,375680
131,Reconciling schemas of disparate data sources: a machine-learning approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",International Conference on Management of Data,2001,66.0,375731
132,Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",SIGMOD Conference,2001,66.0,conf/sigmod/DoanDH01
133,Iceberg-cube computation with PC clusters,"Yu Yin, Raymond T. Ng, Alan S. Wagner",SIGMOD Conference,2001,67.0,conf/sigmod/NgWY01
134,Iceberg-cube computation with PC clusters,"Raymond T. Ng, Alan Wagner, Yu Yin",International Conference on Management of Data,2001,67.0,375666
135,"Probe, count, and classify: categorizing hidden web databases","Panagiotis G. Ipeirotis, Luis Gravano, Mehran Sahami",International Conference on Management of Data,2001,68.0,375671
136,"Probe, Count, and Classify: Categorizing Hidden Web Databases","Mehran Sahami, Panagiotis G. Ipeirotis, Luis Gravano",SIGMOD Conference,2001,68.0,conf/sigmod/IpeirotisGS01
137,Mining needle in a haystack: classifying rare classes via two-phase rule induction,"Mahesh V. Joshi, Ramesh C. Agarwal, Vipin Kumar",International Conference on Management of Data,2001,69.0,375673
138,Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,"Ramesh C. Agarwal, Mahesh V. Joshi",SIGMOD Conference,2001,69.0,conf/sigmod/JoshiA01
139,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",SIGMOD Conference,2001,70.0,conf/sigmod/HristidisKP01
140,PREFER: a system for the efficient execution of multi-parametric ranked queries,"Vagelis Hristidis, Nick Koudas, Yannis Papakonstantinou",International Conference on Management of Data,2001,70.0,375690
141,Selectivity estimation using probabilistic models,"Lise Getoor, Benjamin Taskar, Daphne Koller",International Conference on Management of Data,2001,71.0,375727
142,Selectivity Estimation using Probabilistic Models,"Daphne Koller, Lise Getoor, Benjamin Taskar",SIGMOD Conference,2001,71.0,conf/sigmod/GetoorTK01
143,Using the Golden Rule of Sampling for Query Estimation,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",SIGMOD Conference,2001,72.0,conf/sigmod/WuAA01
144,Applying the golden rule of sampling for query estimation,"Yi-Leh Wu, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data,2001,72.0,375724
145,On computing correlated aggregates over continual data streams,"Johannes Gehrke, Flip Korn, Divesh Srivastava",International Conference on Management of Data,2001,73.0,375665
146,On Computing Correlated Aggregates Over Continual Data Streams,"Divesh Srivastava, Flip Korn, Johannes Gehrke",SIGMOD Conference,2001,73.0,conf/sigmod/GehrkeKS01
147,Monitoring business processes through event correlation based on dependency model,"Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham",International Conference on Management of Data,2001,74.0,375759
148,Monitoring Business Processes through Event Correlation based on Dependency Model,"Tali Yatzkar-Haham, Asaf Adi, David Botzer, Opher Etzion",SIGMOD Conference,2001,74.0,conf/sigmod/AdiBEY01
149,Minimization of Tree Pattern Queries,"Sihem Amer-Yahia, Divesh Srivastava, Laks V. S. Lakshmanan, SungRan Cho",SIGMOD Conference,2001,75.0,conf/sigmod/Amer-YahiaCLS01
150,Minimization of tree pattern queries,"Sihem Amer-Yahia, SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava",International Conference on Management of Data,2001,75.0,375730
151,Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes,"Arthur T. Whitney, Dennis Shasha",SIGMOD Conference,2001,76.0,conf/sigmod/WhitneyS01
152,Lots o'Ticks: real time high performance time series queries on billions of trades and quotes,"Arthur Whitney, Dennis Shasha",International Conference on Management of Data,2001,76.0,375783
153,Spatial data management for computer aided design,"Hans-Peter Kriegel, Andreas M&#252;ller, Marco P&#246;tke, Thomas Seidl",International Conference on Management of Data,2001,77.0,375777
154,Spatial Data Management for Computer Aided Design,"Andreas Müller, Marco Pötke, Thomas Seidl, Hans-Peter Kriegel",SIGMOD Conference,2001,77.0,conf/sigmod/KriegelMPS01
155,VQBD: exploring semistructured data,"Sudarshan S. Chawathe, Thomas Baby, Jihwang Yoo",International Conference on Management of Data,2001,78.0,375761
156,VQBD: Exploring Semistructured Data,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",SIGMOD Conference,2001,78.0,conf/sigmod/BabyCY01
157,Models and Languages for Describing and Discovering E-Services,"Ming-Chien Shan, Fabio Casati",SIGMOD Conference,2001,79.0,conf/sigmod/CasatiS01
158,Models and languages for describing and discovering E-services,"Fabio Casati, Ming-Chien Shan",International Conference on Management of Data,2001,79.0,375812
159,Will Database Researchers Have ANY Role in Data Security? (Panel Abstract),Arnon Rosenthal,SIGMOD Conference,2001,80.0,conf/sigmod/Rosenthal01
160,Will database researchers have any role in data security? (panel session),"Arnon Rosenthal, Klaus Dittrich, Jim Donahue, Bill Maimone",International Conference on Management of Data,2001,80.0,375796
161,Monitoring XML Data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda",SIGMOD Conference,2001,81.0,conf/sigmod/NguyenACP01
162,Monitoring XML data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gr&#233;gory Cobena, Miha&#237; Preda",International Conference on Management of Data,2001,81.0,375723
163,The Prototype of the DARE System,"Tiziana Catarci, Giuseppe Santucci",SIGMOD Conference,2001,82.0,conf/sigmod/CatarciS01
164,The prototype of the DARE system,"Tiziana Catarci, Giuseppe Santucci",International Conference on Management of Data,2001,82.0,375771
165,PBIR - Perception-Based Image Retrieval,"Lihyuarn L. Chang, Edward Y. Chang, Tim Cheng",SIGMOD Conference,2001,83.0,conf/sigmod/ChangC01
166,PBIR - perception-based image retrieval,"Edward Chang, Kwang-Ting Cheng, Lihyuarn L. Chang",International Conference on Management of Data,2001,83.0,375776
167,High speed on-line backup when using logical log operations,David B. Lomet,International Conference on Management of Data,2000,84.0,335378
